00000|The teacher plays music like a pro.
00001|A robot is running in the park.
00002|My friend plays music like a pro.
00003|The cat plays music like a pro.
00004|The teacher eats pizza on Mars.
00005|This app is running every day.
00006|The teacher eats pizza on Mars.
00007|A robot writes code like a pro.
00008|This app writes code with a smile.
00009|The cat eats pizza on Mars.
00010|This app eats pizza every day.
00011|The teacher eats pizza in the park.
00012|My friend plays music every day.
00013|The teacher writes code with a smile.
00014|A robot plays music with a smile.
00015|A robot eats pizza on Mars.
00016|The cat eats pizza in the park.
00017|My friend writes code like a pro.
00018|My friend writes code in the park.
00019|The cat is talking every day.
00020|The cat plays music every day.
00021|A robot is running with a smile.
00022|The teacher plays music like a pro.
00023|This app eats pizza with a smile.
00024|The cat is talking every day.
00025|A robot writes code on Mars.
00026|My friend is running on Mars.
00027|The teacher is running with a smile.
00028|The teacher is running with a smile.
00029|The teacher is talking every day.
00030|The cat writes code in the park.
00031|This app plays music with a smile.
00032|A robot is talking every day.
00033|This app is running with a smile.
00034|A robot is running with a smile.
00035|The teacher writes code with a smile.
00036|The teacher is talking like a pro.
00037|This app is running in the park.
00038|My friend plays music with a smile.
00039|My friend writes code with a smile.
00040|The cat is running like a pro.
00041|A robot plays music every day.
00042|This app plays music like a pro.
00043|A robot eats pizza in the park.
00044|My friend is talking with a smile.
00045|The cat eats pizza with a smile.
00046|This app writes code in the park.
00047|This app is running every day.
00048|My friend is running like a pro.
00049|A robot is running on Mars.
00050|The teacher plays music in the park.
00051|This app eats pizza like a pro.
00052|This app writes code every day.
00053|My friend eats pizza in the park.
00054|This app writes code like a pro.
00055|My friend writes code with a smile.
00056|My friend is running on Mars.
00057|A robot plays music in the park.
00058|The cat plays music every day.
00059|My friend is running with a smile.
00060|My friend plays music with a smile.
00061|The cat is running on Mars.
00062|The cat writes code in the park.
00063|The teacher is running with a smile.
00064|A robot eats pizza with a smile.
00065|The teacher writes code in the park.
00066|The teacher plays music every day.
00067|My friend is running on Mars.
00068|The teacher plays music in the park.
00069|The teacher writes code on Mars.
00070|The teacher is talking in the park.
00071|The cat is talking on Mars.
00072|The cat eats pizza with a smile.
00073|A robot is running every day.
00074|The teacher plays music every day.
00075|This app plays music with a smile.
00076|The teacher is talking in the park.
00077|My friend writes code in the park.
00078|The cat eats pizza on Mars.
00079|The teacher writes code in the park.
00080|This app writes code every day.
00081|The cat plays music on Mars.
00082|The cat is talking with a smile.
00083|This app is talking with a smile.
00084|This app eats pizza like a pro.
00085|My friend plays music in the park.
00086|My friend eats pizza on Mars.
00087|The teacher plays music every day.
00088|My friend is talking with a smile.
00089|This app plays music with a smile.
00090|The teacher writes code on Mars.
00091|My friend plays music like a pro.
00092|This app writes code like a pro.
00093|A robot eats pizza with a smile.
00094|This app is running on Mars.
00095|This app plays music with a smile.
00096|The cat writes code every day.
00097|The cat eats pizza like a pro.
00098|This app writes code like a pro.
00099|The cat is talking like a pro.
